key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
Krhkost,,fragility,хрупкость,The quality or state of being easily broken or damaged.,"Состояние или качество, при котором что-то легко ломается или повреждается.",Osobina ili stanje lako lomljivog ili oštećenog.,Krhkost stakla zahteva pažljivo rukovanje.,"slabost, lomljivost, ranjivost",,,,,,,,,,,,,,,,,,,,,
Kunem se,,I swear,я клянусь,To affirm strongly or earnestly with an oath or solemn declaration.,утверждать что-либо с клятвой или торжественным заявлением.,izjavljivati nešto snažno ili svečano sa zakletvom.,Kunem se da ću stići na vreme.,"zakleti se, prisegnuti, obavezati se",,,,,,,,,,,,,,,,,,1731409007,62000000,1731409007,62000000
Kurac,,penis,пенис,A vulgar slang term for the male reproductive organ.,вульгарное жаргонное слово для обозначения мужского полового органа.,Vulgarn izraz za muški polni organ.,On je pričao gluposti i sad je ispao kurac.,"član, penis, alat",,,,,,,,,,,,,,,,,,,,,
Leba mi,,my bread,мой хлеб,"A phrase used in informal speech to assert truthfulness or seriousness, literally meaning 'my bread'.","Фраза, используемая в неформальной речи, чтобы подтвердить искренность или важность, буквально переводится как 'мой хлеб'.","Izraz koji se koristi u neformalnom govoru da izrazi ozbiljnost ili istinitost, doslovno znači 'moj hleb'.","Leba mi, nisam to ja uradio!","zaklinjem, tako mi svega, ozbiljno",,,,,,,,,,,,,,,,,,1731409029,576000000,1731409029,576000000
Lepršala,,fluttered,трепетала,"To move with quick, light movements, typically in a back and forth motion.","Двигаться быстрыми, легкими движениями, обычно из стороны в сторону.","Kretati se brzim, laganim pokretima, obično napred-nazad.",Ptica je lepršala kroz šumu.,"letele, titralo, treperilo",,,,,,,,,,,,,,,,,,,,,
Lepršati,,flutter,порхать,"To move through the air with light, quick movements, usually in a manner that is irregular or unrestrained.","Двигаться по воздуху с легкими, быстрыми движениями, обычно в нерегулярной или безудержной манере.","Kretati se vazduhom laganim, brzim pokretima, obično na način koji je nepravilan ili nesputan.",Leptiri lepršaju na livadi.,"mrdati, letuckati, vijoriti",,,,,,,,,,,,,,,,,,,,,
Ljubomoran,,jealous,ревнивый,Feeling or showing envy of someone or their achievements and advantages.,испытывающий зависть или ревность к кому-то или чему-то.,osećanje zavisti prema nekom ili nečemu.,On je ljubomoran na njen uspeh.,"zavistan, posesivan, nepoverljiv",,,,,,,,,,,,,,,,,,,,,
Lupati,,to bang,стучать,"To hit something repeatedly, typically making a loud noise.","бить по чему-то многократно, обычно издавая громкий звук.","udarati nešto ponavljajuće, obično praveći glasnu buku.",On je obično lupao po vratima kad je bio ljut.,"udarati, kucati, tupkati",,,,,,,,,,,,,,,,,,,,,
MALAKSATI,,to weaken,ослабеть,To become weak or lose strength or energy.,становиться слабым или терять силу и энергию.,"Izgubiti snagu ili energiju, postati slab.",Osoba može malaksati zbog umora.,"oslabiti, iznemogavati, klonuti",,,,,,,,,,,,,,,,,,1731666731,105000000,1731666731,105000000
Mornari,,sailors,матросы,"People who work on a ship, navigating or maintaining it, usually in a non-officer capacity.","Люди, работающие на судне, занимающиеся навигацией или обслуживанием.","Ljudi koji rade na brodu, bave se navigacijom ili održavanjem.",Mornari su spremni za polazak.,"pomorci, nautičari, moreplovci",,,,,,,,,,,,,,,,,,,,,
Nadigrati,,to outperform,переиграть,"To play better than an opponent, surpassing or outplaying them, often in a competitive context.","играть лучше другого, переигрывать, особенно в контексте соревнования.","Igrati bolje od protivnika, nadmašiti ili nadigrati ga, obično u kontekstu takmičenja.",On je uspeo da nadigra sve svoje protivnike na turniru.,"pobediti, savladati, nadmašiti",,,,,,,,,,,,,,,,,,,,,
Nadjačiti,,to overpower,преодолевать,To become stronger or more powerful than something or someone.,"стать сильнее или мощнее, чем что-либо или кто-либо",postati jači ili moćniji od nekoga ili nečega,Uspeli su da nadjačaju protivnika.,"savladati, pobediti, nadvladati",,,,,,,,,,,,,,,,,,,,,
Nadmašiti,,to surpass,превзойти,To exceed or go beyond the limits or expectations.,превосходить или выходить за пределы ограничений или ожиданий.,preći granice ili očekivanja.,Sportista želi da nadmaši svoj prethodni rekord.,"prevazići, nadvisiti, premostiti",,,,,,,,,,,,,,,,,,,,,
Nadoknaditi,,to compensate,компенсировать,"To make up for something that was lost, missed, or lacking.",восполнить что-то упущенное или недостающее.,"Nadoknaditi nešto što je izgubljeno, propušteno ili što nedostaje.",Moramo nadoknaditi propušteni čas.,"kompenzovati, nadomestiti, popuniti",,,,,,,,,,,,,,,,,,,,,
Naigrati se,,to play enough,наиграться,"To engage in play to the point of satisfaction or till enough, often used for children.","заняться игрой до тех пор, пока не будет достаточно, часто используется в отношении детей.","Igrati se dovoljno dugo da budeš zadovoljan ili dok se ne zasitiš, često se koristi u vezi sa decom.",Deca su se napokon naigrala u parku.,"poigrati se, izigrati se, zadovoljiti se igrom",,,,,,,,,,,,,,,,,,,,,
Najaviti,,to announce,объявлять,To announce something or someone.,объявлять что-то или кого-то.,objaviti nešto ili nekoga.,Treba da najavim važnu vest.,"objaviti, proglasiti, izveštavati",,,,,,,,,,,,,,,,,,,,,
Najpremetnija,,the most cunning,самый коварный,Displaying skill in achieving one's ends by deceit or evasion.,показывающий умение достигать своих целей обманом или уклонением,Pokazivanje umeća u postizanju cilja prevarom ili izbegavanjem.,Njena najpremetnija osobina je bila sposobnost obmane.,"najlukaviji, najpametniji, najsnalažljiviji",,,,,,,,,,,,,,,,,,,,,
Najsjajnjuju,,the shiniest,самый блестящий,"The most shiny or the brightest in appearance, reflecting the most light.","Самый блестящий или яркий по внешнему виду, отражающий наибольшее количество света.",Koji je najviše sjajan ili odražava najviše svetlosti.,Ovaj kamen je nајsjajniji među svim draguljima.,"najblistaviji, najsjan",,,,,,,,,,,,,,,,,,,,,
Namenjen,,intended,предназначенный,To designate or plan something for a specific purpose or person.,Назначить или запланировать что-то для конкретной цели или лица.,Odrediti ili planirati nešto za određenu svrhu ili osobu.,Ovaj paket je namenjen tebi.,"predviđen, dodeljen, opredeljen",,,,,,,,,,,,,,,,,,,,,
Namere je,,intention,намерение,A plan or aim that guides action towards an anticipated outcome.,"План или цель, которая направляет действия к ожидаемому результату.",Plan ili cilj koji usmerava akciju ka očekivanom ishodu.,Njegova namera je bila jasna od početka.,"cilj, namera, plan, odluka",,,,,,,,,,,,,,,,,,,,,
Namerenje,,intention,намерение,"A plan or purpose in the mind, an aim or goal someone wants to achieve.","замысел, цель или план, который человек стремится достичь",svesna svrha ili plan koji osoba želi ostvariti,Njegovo nameravanje je bilo da pomogne svima.,"plan, namera, želja, cilj",,,,,,,,,,,,,,,,,,,,,
Naplaćen,,charged,заплачено,To have a payment or charge applied.,когда платёж был взят или начислен,kada je naplata izvršena,Račun je naplaćen.,"obračunat, fakturisano, plaćeno",,,,,,,,,,,,,,,,,,,,,
Napon,,voltage,напряжение,"The electrical potential difference between two points, which is measured in volts.","Электрическая разность потенциалов между двумя точками, измеряемая в вольтах.","Električni potencijalni razlike između dve tačke, meri se u voltima.",Napon u kućnoj mreži je obično 220 volti.,"električni napon, potencijalna razlika, voltna razlika",,,,,,,,,,,,,,,,,,,,,
Napraviti,,to make,делать,To create or build something.,"сделать что-то, создать",stvoriti ili izgraditi nešto,On želi napraviti tortu za rođendan.,"sastaviti, konstruisati, izraditi, praviti",,,,,,,,,,,,,,,,,,,,,
Naseliti,,to settle,заселить,To cause a place to become inhabited or populated.,сделать место обитаемым или населённым.,učiniti da mesto postane nastanjeno ili naseljeno.,Moramo naseliti ovu oblast novim stanovnicima.,"nastaniti, kolonizovati",,,,,,,,,,,,,,,,,,1731406511,664000000,1731406511,664000000
Nastaviti,,to continue,продолжать,To continue doing something that has been interrupted or stopped.,"Продолжать что-то, что было прервано или остановлено.",Nastaviti radnju koja je prekinuta ili zaustavljena.,Moramo nastaviti sa učenjem jezika.,"produžiti, nastavljati, nastavljati dalje",,,,,,,,,,,,,,,,,,,,,
